?make,model,year,vin
Buick,Century,1997,5J8TB3H51GL705957
Suzuki,SJ 410,1986,JH4DC54892C325137
Chevrolet,Corvette,1953,1FTSW3A57AE184602
Toyota,Land Cruiser,2011,1G6KF54931U615166
GMC,Yukon,2011,JN1AJ0HP8AM426731
Mercedes-Benz,M-Class,2004,WBAVC73568K486453
Infiniti,QX,2012,1G4HA5EM4AU122231
Kia,Rio,2001,5NPDH4AE0DH405120
Volkswagen,Golf,2002,1G6DW677960110465
Nissan,300ZX,1992,3VW507AT3FM871789
Lexus,IS,2005,4USBU53508L207297
Kia,Rio,2011,WBADN53453G931844
Buick,Enclave,2011,WAUVFAFH2DN308073
Pontiac,Grand Am,2003,JTDZN3EU2D3084865
Ford,Mustang,2005,1D7RE2GK0BS745422
Toyota,Xtra,1992,1GD021EG8FZ871072
Hyundai,Accent,2000,JN8AS5MT6DW793635
Toyota,Corolla,1997,5UXFB935X3L418681
Ford,Econoline E250,1998,WBALL5C55FP675638
Suzuki,Swift,1992,2G61W5S86E9894119
Pontiac,Firebird,2002,WAUSH74F47N076503
Chevrolet,Suburban 1500,1998,WAULD54B24N932619
Chrysler,300,2009,2T1BU4EE9CC925721
Mercedes-Benz,S-Class,2000,WBAAV53421J822583
Mazda,Mazda6,2009,5J6TF1H30EL607838
Ford,Thunderbird,1995,1FTMF1CW0AF544841
Ford,Econoline E250,1999,2T1BU4EEXBC716938
Mitsubishi,Pajero,1988,WDDHF0EB7EA746058
Chevrolet,Sportvan G30,1995,SAJWJ0EFXE8218011
Mazda,B-Series,2006,WBAVS13548F725748
Isuzu,Rodeo Sport,2001,5J8TB1H21CA271264
Ford,Mustang,1973,3VW517AT1FM343231
Chevrolet,Silverado 2500,2000,JTDBT4K33A1916973
Subaru,Tribeca,2012,JTJBARBZ6F2315126
Honda,S2000,2007,KMHHT6KD0CU372234
Lincoln,Continental,1998,WBAEW534X2P720185
Pontiac,Fiero,1985,1D4RE5GG1BC158151
Mercedes-Benz,SLR McLaren,2007,2FMHK6CT6AB786062
Volvo,S40,2003,4JGCB2FEXCA142517
Mercury,Sable,1989,3G5DB03E43S507930
Toyota,Sienna,2001,KMHGN4JE2FU139142
Ford,Tempo,1984,WBSWD93589P940389
Chevrolet,Corvette,2006,WAUGL78E35A888773
Chevrolet,Caprice,1992,WDDGF4HB0DA375967
Ferrari,F430 Spider,2006,3N1CN7AP6EK758169
Jaguar,XF,2010,JH4DB76691S671302
Buick,Century,1996,2C3CK6CT8BH074978
Toyota,Land Cruiser,2003,3D7JV1EPXAG552996
GMC,2500 Club Coupe,1993,WAULFAFRXAA782503
Oldsmobile,Achieva,1995,2C3CCAAG6CH665401
Chevrolet,Suburban 2500,2005,WAUWFAFR7BA802009
Suzuki,Samurai,1994,WAUVT58E93A218329
Hyundai,Santa Fe,2002,JN8AZ1MU4EW773575
GMC,Savana 2500,2005,WBAUN7C52DV661957
Scion,xB,2006,WAUTFAFH2CN048859
Ford,F-Series,2010,WBAEW53473P262400
